,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4591,176,5000,2010,0.0,0.0,-1.725138,-1.195622,PNG,010111
11117,176,5001,2010,0.0,0.0,-1.725138,-1.195622,PNG,010119
17643,176,5002,2010,0.0,0.0,-1.725138,-1.195622,PNG,010120
24169,176,5003,2010,0.0,0.0,-1.725138,-1.195622,PNG,010210
30695,176,5004,2010,0.0,0.0,-1.725138,-1.195622,PNG,010290
37221,176,5005,2010,0.0,0.0,-1.725138,-1.195622,PNG,010310
43747,176,5006,2010,0.0,0.0,-1.725138,-1.195622,PNG,010391
50273,176,5007,2010,0.0,0.0,-1.725138,-1.195622,PNG,010392
56799,176,5008,2010,0.0,0.0,-1.725138,-1.195622,PNG,010410
63325,176,5009,2010,0.0,0.0,-1.725138,-1.195622,PNG,010420
69851,176,5010,2010,0.0,2.5342925082451155e-07,-1.725138,-1.195622,PNG,010511
76377,176,5011,2010,0.0,0.0,-1.725138,-1.195622,PNG,010519
82903,176,5012,2010,0.0,0.0,-1.725138,-1.195622,PNG,010591
89429,176,5013,2010,0.0,0.0,-1.725138,-1.195622,PNG,010599
95955,176,5014,2010,1.075478450871967e-09,6.934572704792219e-09,-1.725138,-1.195622,PNG,010600
102481,176,5015,2010,0.0,1.8238095244434652e-08,-1.725138,-1.195622,PNG,020110
109007,176,5016,2010,0.0,1.77101224719482e-08,-1.725138,-1.195622,PNG,020120
115533,176,5017,2010,0.0,1.4685199747573226e-07,-1.725138,-1.195622,PNG,020130
122059,176,5018,2010,0.0,0.0,-1.725138,-1.195622,PNG,020210
128585,176,5019,2010,0.0,2.1887172598531212e-07,-1.725138,-1.195622,PNG,020220
135111,176,5020,2010,0.0,7.125645819151964e-06,-1.725138,-1.195622,PNG,020230
141637,176,5021,2010,0.0,0.0,-1.725138,-1.195622,PNG,020311
148163,176,5022,2010,0.0,1.0194879147321542e-09,-1.725138,-1.195622,PNG,020312
154689,176,5023,2010,0.0,1.8205614810220167e-09,-1.725138,-1.195622,PNG,020319
161215,176,5024,2010,0.0,7.053126289675084e-08,-1.725138,-1.195622,PNG,020321
167741,176,5025,2010,0.0,3.1138329415420914e-07,-1.725138,-1.195622,PNG,020322
174267,176,5026,2010,0.0,1.7602638749338436e-06,-1.725138,-1.195622,PNG,020329
180793,176,5027,2010,0.0,0.0,-1.725138,-1.195622,PNG,020410
187319,176,5028,2010,0.0,0.0,-1.725138,-1.195622,PNG,020421
193845,176,5029,2010,0.0,2.1584474837632358e-07,-1.725138,-1.195622,PNG,020422
200371,176,5030,2010,0.0,0.0,-1.725138,-1.195622,PNG,020423
206897,176,5031,2010,0.0,0.0,-1.725138,-1.195622,PNG,020430
213423,176,5032,2010,0.0,0.0,-1.725138,-1.195622,PNG,020441
219949,176,5033,2010,0.0,1.5185177700096812e-05,-1.725138,-1.195622,PNG,020442
226475,176,5034,2010,0.0,1.4972214098808515e-06,-1.725138,-1.195622,PNG,020443
233001,176,5035,2010,0.0,0.0,-1.725138,-1.195622,PNG,020450
239527,176,5036,2010,0.0,0.0,-1.725138,-1.195622,PNG,020500
246053,176,5037,2010,0.0,2.1303187648674886e-08,-1.725138,-1.195622,PNG,020610
252579,176,5038,2010,0.0,3.317213489005108e-08,-1.725138,-1.195622,PNG,020621
259105,176,5039,2010,0.0,0.0,-1.725138,-1.195622,PNG,020622
265631,176,5040,2010,0.0,1.532406337393194e-06,-1.725138,-1.195622,PNG,020629
272157,176,5041,2010,0.0,0.0,-1.725138,-1.195622,PNG,020630
278683,176,5042,2010,0.0,0.0,-1.725138,-1.195622,PNG,020641
285209,176,5043,2010,0.0,1.8566213916601372e-08,-1.725138,-1.195622,PNG,020649
291735,176,5044,2010,0.0,0.0,-1.725138,-1.195622,PNG,020680
298261,176,5045,2010,0.0,3.464638202708622e-07,-1.725138,-1.195622,PNG,020690
304787,176,5046,2010,0.0,7.049911389553854e-09,-1.725138,-1.195622,PNG,020710
311313,176,5047,2010,0.0,4.6479501360925834e-08,-1.725138,-1.195622,PNG,020721
317839,176,5048,2010,0.0,2.571754380482494e-08,-1.725138,-1.195622,PNG,020722
324365,176,5049,2010,0.0,2.653982908325487e-08,-1.725138,-1.195622,PNG,020723
330891,176,5050,2010,0.0,0.0,-1.725138,-1.195622,PNG,020731
337417,176,5051,2010,0.0,0.0,-1.725138,-1.195622,PNG,020739
343943,176,5052,2010,0.0,1.2390496842280231e-06,-1.725138,-1.195622,PNG,020741
350469,176,5053,2010,0.0,8.165945737823549e-08,-1.725138,-1.195622,PNG,020742
356995,176,5054,2010,0.0,0.0,-1.725138,-1.195622,PNG,020743
363521,176,5055,2010,0.0,0.0,-1.725138,-1.195622,PNG,020750
370047,176,5056,2010,0.0,0.0,-1.725138,-1.195622,PNG,020810
376573,176,5057,2010,0.0,0.0,-1.725138,-1.195622,PNG,020820
