,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
4142,159,5000,2003,0.0,23583.0,-1.859176,-1.234236,NGA,010111
10668,159,5001,2003,0.0,191505.0,-1.859176,-1.234236,NGA,010119
17194,159,5002,2003,,,-1.859176,-1.234236,NGA,010120
23720,159,5003,2003,1461.0,186622.0,-1.859176,-1.234236,NGA,010210
30246,159,5004,2003,1287.0,7348059.0,-1.859176,-1.234236,NGA,010290
36772,159,5005,2003,0.0,133704.0,-1.859176,-1.234236,NGA,010310
43298,159,5006,2003,,,-1.859176,-1.234236,NGA,010391
49824,159,5007,2003,,,-1.859176,-1.234236,NGA,010392
56350,159,5008,2003,755.0,3141049.0,-1.859176,-1.234236,NGA,010410
62876,159,5009,2003,1351.0,2996151.0,-1.859176,-1.234236,NGA,010420
69402,159,5010,2003,0.0,2025689.0,-1.859176,-1.234236,NGA,010511
75928,159,5011,2003,0.0,634115.0,-1.859176,-1.234236,NGA,010519
82454,159,5012,2003,0.0,321330.0,-1.859176,-1.234236,NGA,010591
88980,159,5013,2003,0.0,13828.0,-1.859176,-1.234236,NGA,010599
95506,159,5014,2003,279142.0,283052.0,-1.859176,-1.234236,NGA,010600
102032,159,5015,2003,0.0,17580.0,-1.859176,-1.234236,NGA,020110
108558,159,5016,2003,0.0,95142.0,-1.859176,-1.234236,NGA,020120
115084,159,5017,2003,0.0,58826.0,-1.859176,-1.234236,NGA,020130
121610,159,5018,2003,0.0,33973.0,-1.859176,-1.234236,NGA,020210
128136,159,5019,2003,0.0,158455.0,-1.859176,-1.234236,NGA,020220
134662,159,5020,2003,0.0,520648.0,-1.859176,-1.234236,NGA,020230
141188,159,5021,2003,,,-1.859176,-1.234236,NGA,020311
147714,159,5022,2003,0.0,289340.0,-1.859176,-1.234236,NGA,020312
154240,159,5023,2003,0.0,11428.0,-1.859176,-1.234236,NGA,020319
160766,159,5024,2003,0.0,11087.0,-1.859176,-1.234236,NGA,020321
167292,159,5025,2003,0.0,145936.0,-1.859176,-1.234236,NGA,020322
173818,159,5026,2003,0.0,183230.0,-1.859176,-1.234236,NGA,020329
180344,159,5027,2003,0.0,24630.0,-1.859176,-1.234236,NGA,020410
186870,159,5028,2003,,,-1.859176,-1.234236,NGA,020421
193396,159,5029,2003,0.0,11033.0,-1.859176,-1.234236,NGA,020422
199922,159,5030,2003,0.0,172519.0,-1.859176,-1.234236,NGA,020423
206448,159,5031,2003,0.0,145931.0,-1.859176,-1.234236,NGA,020430
212974,159,5032,2003,,,-1.859176,-1.234236,NGA,020441
219500,159,5033,2003,0.0,72797.0,-1.859176,-1.234236,NGA,020442
226026,159,5034,2003,0.0,20236.0,-1.859176,-1.234236,NGA,020443
232552,159,5035,2003,0.0,5830.0,-1.859176,-1.234236,NGA,020450
239078,159,5036,2003,,,-1.859176,-1.234236,NGA,020500
245604,159,5037,2003,0.0,77946.0,-1.859176,-1.234236,NGA,020610
252130,159,5038,2003,0.0,7945.0,-1.859176,-1.234236,NGA,020621
258656,159,5039,2003,0.0,14363.0,-1.859176,-1.234236,NGA,020622
265182,159,5040,2003,0.0,115951.0,-1.859176,-1.234236,NGA,020629
271708,159,5041,2003,,,-1.859176,-1.234236,NGA,020630
278234,159,5042,2003,,,-1.859176,-1.234236,NGA,020641
284760,159,5043,2003,0.0,5651.0,-1.859176,-1.234236,NGA,020649
291286,159,5044,2003,0.0,19727.0,-1.859176,-1.234236,NGA,020680
297812,159,5045,2003,0.0,44211.0,-1.859176,-1.234236,NGA,020690
304338,159,5046,2003,0.0,25930.0,-1.859176,-1.234236,NGA,020710
310864,159,5047,2003,30722.0,221858.0,-1.859176,-1.234236,NGA,020721
317390,159,5048,2003,0.0,4854.0,-1.859176,-1.234236,NGA,020722
323916,159,5049,2003,0.0,62055.0,-1.859176,-1.234236,NGA,020723
330442,159,5050,2003,,,-1.859176,-1.234236,NGA,020731
336968,159,5051,2003,0.0,113207.0,-1.859176,-1.234236,NGA,020739
343494,159,5052,2003,182140.0,560588.0,-1.859176,-1.234236,NGA,020741
350020,159,5053,2003,28528.0,62350.0,-1.859176,-1.234236,NGA,020742
356546,159,5054,2003,0.0,2705.0,-1.859176,-1.234236,NGA,020743
363072,159,5055,2003,,,-1.859176,-1.234236,NGA,020750
369598,159,5056,2003,0.0,3539.0,-1.859176,-1.234236,NGA,020810
376124,159,5057,2003,0.0,10041.0,-1.859176,-1.234236,NGA,020820
