,location_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,hs_product_code
3043,117,5000,1996,9.664760279982994e-09,0.0,0.350901,0.529512,KGZ,010111
9569,117,5001,1996,0.0,0.0,0.350901,0.529512,KGZ,010119
16095,117,5002,1996,1.8803751297564505e-08,0.0,0.350901,0.529512,KGZ,010120
22621,117,5003,1996,1.2995440373962648e-07,0.0,0.350901,0.529512,KGZ,010210
29147,117,5004,1996,2.3623858437482652e-08,0.0,0.350901,0.529512,KGZ,010290
35673,117,5005,1996,2.5380170203534683e-07,2.7038304318546537e-09,0.350901,0.529512,KGZ,010310
42199,117,5006,1996,0.0,0.0,0.350901,0.529512,KGZ,010391
48725,117,5007,1996,0.0,0.0,0.350901,0.529512,KGZ,010392
55251,117,5008,1996,4.310398840575615e-09,5.69733330762215e-10,0.350901,0.529512,KGZ,010410
61777,117,5009,1996,0.0,0.0,0.350901,0.529512,KGZ,010420
68303,117,5010,1996,0.0,0.0,0.350901,0.529512,KGZ,010511
74829,117,5011,1996,0.0,0.0,0.350901,0.529512,KGZ,010519
81355,117,5012,1996,0.0,0.0,0.350901,0.529512,KGZ,010591
87881,117,5013,1996,0.0,0.0,0.350901,0.529512,KGZ,010599
94407,117,5014,1996,3.5152296506381566e-09,0.0,0.350901,0.529512,KGZ,010600
100933,117,5015,1996,6.165200674623673e-07,2.3507780549332842e-07,0.350901,0.529512,KGZ,020110
107459,117,5016,1996,1.7639786031348887e-09,0.0,0.350901,0.529512,KGZ,020120
113985,117,5017,1996,1.5449707047889663e-07,0.0,0.350901,0.529512,KGZ,020130
120511,117,5018,1996,9.79894508078494e-08,0.0,0.350901,0.529512,KGZ,020210
127037,117,5019,1996,6.5931768542184805e-09,0.0,0.350901,0.529512,KGZ,020220
133563,117,5020,1996,0.0,3.749501553759708e-09,0.350901,0.529512,KGZ,020230
140089,117,5021,1996,0.0,0.0,0.350901,0.529512,KGZ,020311
146615,117,5022,1996,0.0,0.0,0.350901,0.529512,KGZ,020312
153141,117,5023,1996,0.0,0.0,0.350901,0.529512,KGZ,020319
159667,117,5024,1996,0.0,0.0,0.350901,0.529512,KGZ,020321
166193,117,5025,1996,0.0,0.0,0.350901,0.529512,KGZ,020322
172719,117,5026,1996,0.0,1.4785226227633747e-09,0.350901,0.529512,KGZ,020329
179245,117,5027,1996,0.0,0.0,0.350901,0.529512,KGZ,020410
185771,117,5028,1996,0.0,0.0,0.350901,0.529512,KGZ,020421
192297,117,5029,1996,0.0,0.0,0.350901,0.529512,KGZ,020422
198823,117,5030,1996,0.0,0.0,0.350901,0.529512,KGZ,020423
205349,117,5031,1996,5.8916461092850896e-09,0.0,0.350901,0.529512,KGZ,020430
211875,117,5032,1996,0.0,0.0,0.350901,0.529512,KGZ,020441
218401,117,5033,1996,0.0,0.0,0.350901,0.529512,KGZ,020442
224927,117,5034,1996,0.0,0.0,0.350901,0.529512,KGZ,020443
231453,117,5035,1996,0.0,0.0,0.350901,0.529512,KGZ,020450
237979,117,5036,1996,0.0,0.0,0.350901,0.529512,KGZ,020500
244505,117,5037,1996,0.0,0.0,0.350901,0.529512,KGZ,020610
251031,117,5038,1996,0.0,0.0,0.350901,0.529512,KGZ,020621
257557,117,5039,1996,0.0,0.0,0.350901,0.529512,KGZ,020622
264083,117,5040,1996,0.0,0.0,0.350901,0.529512,KGZ,020629
270609,117,5041,1996,0.0,0.0,0.350901,0.529512,KGZ,020630
277135,117,5042,1996,0.0,0.0,0.350901,0.529512,KGZ,020641
283661,117,5043,1996,0.0,0.0,0.350901,0.529512,KGZ,020649
290187,117,5044,1996,0.0,0.0,0.350901,0.529512,KGZ,020680
296713,117,5045,1996,0.0,0.0,0.350901,0.529512,KGZ,020690
303239,117,5046,1996,0.0,6.661803343990995e-10,0.350901,0.529512,KGZ,020710
309765,117,5047,1996,0.0,5.063301974435345e-09,0.350901,0.529512,KGZ,020721
316291,117,5048,1996,0.0,0.0,0.350901,0.529512,KGZ,020722
322817,117,5049,1996,0.0,0.0,0.350901,0.529512,KGZ,020723
329343,117,5050,1996,0.0,0.0,0.350901,0.529512,KGZ,020731
335869,117,5051,1996,0.0,1.3931123380993708e-08,0.350901,0.529512,KGZ,020739
342395,117,5052,1996,0.0,2.7356347427446723e-07,0.350901,0.529512,KGZ,020741
348921,117,5053,1996,0.0,0.0,0.350901,0.529512,KGZ,020742
355447,117,5054,1996,0.0,6.7082039642974e-10,0.350901,0.529512,KGZ,020743
361973,117,5055,1996,0.0,0.0,0.350901,0.529512,KGZ,020750
368499,117,5056,1996,0.0,0.0,0.350901,0.529512,KGZ,020810
375025,117,5057,1996,0.0,0.0,0.350901,0.529512,KGZ,020820
381551,117,5058,1996,0.0,0.0,0.350901,0.529512,KGZ,020890
388077,117,5059,1996,0.0,0.0,0.350901,0.529512,KGZ,020900
394603,117,5060,1996,0.0,0.0,0.350901,0.529512,KGZ,021011
401129,117,5061,1996,0.0,8.511199496203421e-10,0.350901,0.529512,KGZ,021012
407655,117,5062,1996,0.0,1.0178307497212112e-09,0.350901,0.529512,KGZ,021019
414181,117,5063,1996,0.0,0.0,0.350901,0.529512,KGZ,021020
420707,117,5064,1996,0.0,0.0,0.350901,0.529512,KGZ,021090
427233,117,5065,1996,3.381893353544985e-10,1.58419672118119e-07,0.350901,0.529512,KGZ,030110
